article_url,page_url,page_no,game,resolution,gpu,fps,chart_rank
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,1,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,"RX 7900 XT $720 5376 192 2000 MHz 2400 MHz 2500 MHz Navi 31 57700M 20 GB, GDDR6, 320-bit",320.0,17
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,1,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,"RX 9070 $625 3584 128 2070 MHz 2520 MHz 2518 MHz Navi 48 53900M 16 GB, GDDR6, 256-bit",256.0,18
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,1,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,16:01 by xehmadus RX 9000 series GPU Owners Club ( 1284 ),1284.0,19
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,1,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,NVIDIA GeForce RTX 50-Series SUPER GPUs Could Arrive at CES 2026 ( 69 ),69.0,20
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/2.html,2,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,16:01 by xehmadus RX 9000 series GPU Owners Club ( 1284 ),1284.0,1
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/2.html,2,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,NVIDIA GeForce RTX 50-Series SUPER GPUs Could Arrive at CES 2026 ( 69 ),69.0,2
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/3.html,3,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,16:01 by xehmadus RX 9000 series GPU Owners Club ( 1284 ),1284.0,1
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/3.html,3,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,NVIDIA GeForce RTX 50-Series SUPER GPUs Could Arrive at CES 2026 ( 69 ),69.0,2
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/4.html,4,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,16:01 by xehmadus RX 9000 series GPU Owners Club ( 1284 ),1284.0,1
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/4.html,4,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,NVIDIA GeForce RTX 50-Series SUPER GPUs Could Arrive at CES 2026 ( 69 ),69.0,2
